id	STUSAB	STATE_NAME	STATENS	USStateID	TrialStructureDescription	PopulationCategoryDescription	RuralDescription	TrialCriminalProcessingDescription	DeathPenaltyDescription	AppellateCriminalStructureDescription	PopulationDensityDescription	CaseloadSizeDescription
01	AL	Alabama	1779775	1	Two Tiered	3,580,001 to 4,780,000	26-49% of the population	Two Tiered	Missing information	IAC by Subject Matter	51-100	501 Thousand-1 Million
02	AK	Alaska	1785533	2	Two Tiered	up to 990,000	26-49% of the population	Single Tiered	No	COLR Discretionary/IAC Mandatory	0-20	Under 200 Thousand
04	AZ	Arizona	1779777	3	Two Tiered	4,780,001 to 6,490,000	Less than or equal to 15% of the population	Two Tiered	Yes	COLR Discretionary/IAC Mandatory	51-100	1.1 Million-3 Million
05	AR	Arkansas	68085	4	Two Tiered	1,860,001 to 3,580,000	26-49% of the population	Single Tiered	Yes	COLR Discretionary/IAC Mandatory	51-100	1.1 Million-3 Million
06	CA	California	1779778	5	Single Tiered	9,890,001 to highest	Less than or equal to 15% of the population	Single Tiered	Yes	COLR Discretionary/IAC Mandatory	201-500	Over 6 Million
08	CO	Colorado	1779779	6	Two Tiered	4,780,001 to 6,490,000	16-25% of the population	Two Tiered	Yes	COLR Discretionary/IAC Mandatory	21-50	501 Thousand-1 Million
09	CT	Connecticut	1779780	7	Two Tiered	1,860,001 to 3,580,000	16-25% of the population	Two Tiered	No	COLR Discretionary/IAC Mandatory	501-1000	501 Thousand-1 Million
10	DE	Delaware	1779781	8	Two Tiered	up to 990,000	26-49% of the population	Single Tiered	No	COLR Mandatory	201-500	201 Thousand-500 Thousand
11	DC	District of Columbia	1702382	9	Single Tiered	up to 990,000	Less than or equal to 15% of the population	Single Tiered	No	COLR Mandatory	10001-highest	Under 200 Thousand
12	FL	Florida	294478	10	Two Tiered	9,890,001 to highest	Less than or equal to 15% of the population	Single Tiered	Yes	COLR Discretionary/IAC Mandatory	201-500	3.1 Million-6 Million
13	GA	Georgia	1705317	11	Two Tiered	6,490,001 to 9,890,000	26-49% of the population	Two Tiered	Yes	COLR Discretionary/IAC Mandatory	101-200	3.1 Million-6 Million
15	HI	Hawai'i	1779782	13	Two Tiered	990,001 to 1,860,000	Less than or equal to 15% of the population	Two Tiered	No	COLR Discretionary/IAC Mandatory	201-500	501 Thousand-1 Million
16	ID	Idaho	1779783	14	Single Tiered	990,001 to 1,860,000	26-49% of the population	Single Tiered	Missing information	Deflective Structure	0-20	201 Thousand-500 Thousand
17	IL	Illinois	1779784	15	Single Tiered	9,890,001 to highest	Less than or equal to 15% of the population	Single Tiered	No	COLR Discretionary/IAC Mandatory	201-500	1.1 Million-3 Million
